SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
CARBORUNIV,"1,154.70","1,154.70","1,116.80","1,151.60","1,124.00",-,-27.6,-2.4,140768,15.91,"1,306.90",735.20,6.06,32.05
PNGJL,618.05,619.45,608.50,610.70,612.00,-,1.3,0.21,257927,15.79,736.40,503.00,3.42,8.33
AAVAS,"1,390.10","1,399.90","1,380.00","1,397.40","1,386.10",-,-11.3,-0.81,113239,15.72,"1,771.90","1,060.40",-6.43,-16.4
RHIM,379.85,379.85,371.50,379.85,374.90,-,-4.95,-1.3,417956,15.66,515.55,323.05,-8.34,-23.16
AETHER,"1,633.00","1,647.90","1,600.00","1,625.10","1,611.70",-,-13.4,-0.82,95815,15.55,"1,658.00",726.45,9.25,117.34
JSWCEMENT,129.91,130.00,127.40,130.02,127.60,-,-2.42,-1.86,1189077,15.23,162.15,106.65,-8.81,-12.64
SWSOLAR,202.00,204.50,198.30,202.01,204.38,-,2.37,1.17,753220,15.18,286.50,148.00,-8.02,-23.68
SAMHI,161.50,162.00,157.41,163.37,160.20,-,-3.17,-1.94,952559,15.18,227.00,127.00,-2.97,-21.67
GREAVESCOT,194.37,196.25,193.58,194.37,194.83,-,0.46,0.24,769141,14.99,271.90,119.99,-21.9,-6.78
FSL,266.95,269.70,265.60,267.10,267.25,-,0.15,0.06,557871,14.95,381.40,202.00,0.33,-25.6
JKTYRE,383.00,384.05,380.45,384.10,382.10,-,-2.0,-0.52,388253,14.83,611.90,311.00,-5.23,22.49
QUESS,337.80,345.00,327.35,337.80,343.00,-,5.2,1.54,433269,14.75,349.50,166.30,17.89,28.97
INDIAGLYCO,"1,069.00","1,083.00","1,050.00","1,061.10","1,068.00",-,6.9,0.65,138254,14.69,"1,222.00",792.50,-7.88,32.37
CELLO,379.50,379.50,368.85,377.60,369.05,-,-8.55,-2.26,392437,14.61,673.80,336.60,1.15,-30.42
EUREKAFORB,446.20,446.20,429.90,442.75,431.00,-,-11.75,-2.65,331271,14.39,668.30,403.20,-5.94,-22.58
ICIL,379.90,391.00,371.30,379.90,390.45,-,12.05,3.18,373058,14.28,463.80,216.90,0.3,59.01
INOXINDIA,"1,956.00","1,990.00","1,943.10","1,943.00","1,947.00",-,4.0,0.21,72477,14.19,"2,119.80","1,065.00",-1.68,80.51
